구분,G,AVG,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP
KT,12,0.333,48,39,6,13,2,0,2,7,0,0,7,1,9,0
LG,15,0.280,63,50,7,14,0,0,3,10,0,0,10,2,7,0
NC,10,0.324,41,37,7,12,4,0,3,10,0,0,4,0,9,0
SSG,13,0.244,56,45,8,11,3,0,3,9,0,0,11,0,13,0
두산,15,0.333,64,57,5,19,7,0,2,9,0,0,6,1,9,1
롯데,14,0.404,59,52,8,21,5,0,0,12,0,0,7,0,10,1
삼성,14,0.264,62,53,10,14,1,0,2,12,0,0,7,1,9,1
키움,13,0.205,50,44,2,9,0,0,0,1,0,0,4,1,8,2
한화,15,0.315,65,54,11,17,5,1,2,11,0,0,9,2,9,0
고척,5,0.200,21,20,0,4,0,0,0,0,0,0,1,0,5,1
광주,63,0.288,254,212,34,61,13,0,11,42,0,0,34,5,45,2
대구,6,0.286,26,21,4,6,0,0,0,1,0,0,5,0,2,0
대전,7,0.375,30,24,4,9,4,1,1,5,0,0,5,1,4,0
문학,7,0.280,30,25,5,7,2,0,2,7,0,0,5,0,5,0
사직,8,0.419,36,31,5,13,3,0,0,6,0,0,5,0,6,1
수원,5,0.421,21,19,4,8,1,0,1,4,0,0,2,0,4,0
잠실,14,0.327,63,55,5,18,4,0,1,8,0,0,6,2,7,0
창원,3,0.100,12,10,1,1,0,0,1,3,0,0,2,0,2,0
포항,3,0.214,15,14,2,3,0,0,0,5,0,0,0,0,3,1
3~4월,22,0.316,89,76,11,24,5,0,3,12,0,0,12,1,14,2
5월,21,0.324,91,74,11,24,5,1,2,15,0,0,14,2,13,0
6월,23,0.262,96,84,10,22,4,0,4,14,0,0,11,1,22,0
7월,16,0.255,67,55,11,14,2,0,3,10,0,0,10,2,14,0
8월,20,0.325,89,77,14,25,3,0,3,20,0,0,8,2,11,3
9월이상,19,0.323,76,65,7,21,8,0,2,10,0,0,10,0,9,0
월,1,0.200,5,5,0,1,1,0,0,0,0,0,0,0,0,0
화,18,0.292,78,65,12,19,5,1,4,11,0,0,11,2,12,0
수,20,0.292,80,65,11,19,5,0,3,13,0,0,12,2,12,1
목,17,0.246,73,61,8,15,3,0,2,10,0,0,11,0,17,1
금,22,0.342,90,79,11,27,4,0,4,15,0,0,9,1,16,1
토,22,0.342,95,79,12,27,5,0,2,18,0,0,13,2,12,0
일,21,0.286,87,77,10,22,4,0,2,14,0,0,9,1,14,2
홈,63,0.288,254,212,34,61,13,0,11,42,0,0,34,5,45,2
방문,58,0.315,254,219,30,69,14,1,6,39,0,0,31,3,38,3
주간,17,0.259,68,58,6,15,2,0,2,11,0,0,9,0,12,2
야간,104,0.308,440,373,58,115,25,1,15,70,0,0,56,8,71,3
전반기,75,0.294,315,265,40,78,15,1,11,46,0,0,43,6,57,2
후반기,46,0.313,193,166,24,52,12,0,6,35,0,0,22,2,26,3
