구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
주자없음,0.294,204,60,17,1,8,8,22,5,45,0
1루,0.298,104,31,5,0,4,10,21,0,15,3
2루,0.308,39,12,2,0,0,9,6,0,11,0
3루,0.231,13,3,0,0,0,3,5,0,3,0
"1,2루",0.351,37,13,2,0,3,20,5,1,3,2
"1,3루",0.125,16,2,1,0,1,8,2,0,2,0
"2,3루",0.667,3,2,0,0,0,4,3,1,1,0
만루,0.467,15,7,0,0,1,19,1,1,3,0
주자있음,0.308,227,70,10,0,9,73,43,3,38,5
득점권,0.317,123,39,5,0,5,63,22,3,23,2
0-0,0.426,47,20,5,0,5,16,0,3,0,1
1-0,0.275,40,11,1,0,3,9,0,0,0,1
2-0,0.333,3,1,1,0,0,1,1,1,0,0
3-0,-,0,0,0,0,0,1,14,0,0,0
0-1,0.438,48,21,6,0,1,12,0,0,0,0
1-1,0.405,42,17,6,0,1,5,0,0,0,1
2-1,0.308,26,8,1,0,3,11,0,0,0,1
3-1,0.273,11,3,0,0,0,1,26,0,0,0
0-2,0.133,30,4,1,0,1,3,0,1,12,0
1-2,0.163,49,8,2,0,0,4,0,1,22,1
2-2,0.292,72,21,1,1,2,10,0,2,30,0
3-2,0.254,63,16,3,0,1,8,24,0,19,0
1회,0.310,58,18,4,0,2,16,8,1,9,1
2회,0.348,46,16,5,0,2,3,8,1,12,0
3회,0.275,51,14,2,0,1,7,6,0,12,0
4회,0.275,51,14,1,0,2,8,10,3,14,1
5회,0.341,41,14,3,0,3,11,8,1,5,0
6회,0.288,59,17,4,0,1,8,8,0,11,2
7회,0.333,48,16,3,0,4,14,6,0,8,1
8회,0.256,39,10,3,1,1,5,6,2,8,0
9회,0.314,35,11,2,0,1,9,5,0,4,0
연장,0.000,3,0,0,0,0,0,0,0,0,0
1~3회,0.310,155,48,11,0,5,26,22,2,33,1
4~6회,0.298,151,45,8,0,6,27,26,4,30,3
7회이후,0.296,125,37,8,1,6,28,17,2,20,1
4번타자,0.307,375,115,25,1,15,67,55,7,75,4
5번타자,0.265,49,13,2,0,1,8,9,1,6,1
6번타자,0.000,4,0,0,0,0,0,0,0,2,0
7번타자,1.000,1,1,0,0,1,4,1,0,0,0
8번타자,0.000,1,0,0,0,0,0,0,0,0,0
9번타자,1.000,1,1,0,0,0,2,0,0,0,0
좌투수,0.322,118,38,6,1,8,34,15,1,26,1
우투수,0.296,270,80,20,0,5,37,41,5,51,4
언더투수,0.279,43,12,1,0,4,10,9,2,6,0
0아웃,0.314,159,50,12,1,8,24,17,1,31,2
1아웃,0.308,120,37,7,0,5,26,29,4,25,3
2아웃,0.283,152,43,8,0,4,31,19,3,27,0
