구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자없음,61,15,0,5,18,0,37,0,0,0.307
1루,24,4,0,1,8,0,19,0,0,0.296
"1,2루",8,1,0,0,2,1,9,0,0,0.242
만루,3,0,0,1,0,0,3,0,0,0.333
"1,3루",7,0,0,0,0,0,1,0,0,0.700
2루,7,2,0,0,2,0,11,1,0,0.200
"2,3루",2,0,0,0,1,0,2,0,0,0.182
3루,4,1,0,0,0,0,0,0,0,0.571
주자있음,55,8,0,2,13,1,45,1,0,0.296
득점권,31,4,0,1,5,1,26,1,0,0.295
0-0,22,4,0,0,0,0,0,0,0,0.400
1-0,10,4,0,1,0,0,0,0,0,0.385
2-0,4,2,0,1,0,0,0,0,0,0.400
3-0,0,0,0,0,4,0,0,0,0,-
0-1,14,3,0,0,0,0,0,0,0,0.412
1-1,8,1,0,2,0,1,0,0,0,0.267
2-1,13,1,0,1,0,0,0,0,0,0.464
3-1,0,0,0,0,15,0,0,0,0,0.000
0-2,7,1,0,0,0,0,15,0,0,0.226
1-2,18,3,0,2,0,0,28,0,0,0.254
2-2,12,3,0,0,0,0,26,1,0,0.203
3-2,8,1,0,0,12,0,13,0,0,0.222
1회,24,1,0,1,6,0,17,0,0,0.338
2회,23,6,0,2,4,1,16,0,0,0.319
3회,14,4,0,0,3,0,10,0,0,0.246
4회,21,4,0,1,5,0,18,0,0,0.304
5회,16,6,0,1,2,0,12,1,0,0.267
6회,10,0,0,1,8,0,5,0,0,0.333
7회,7,2,0,1,3,0,4,0,0,0.318
8회,1,0,0,0,0,0,0,0,0,0.250
1~3회,61,11,0,3,13,1,43,0,0,0.305
4~6회,47,10,0,3,15,0,35,1,0,0.296
7회이후,8,2,0,1,3,0,4,0,0,0.308
1번타자,13,2,0,1,6,0,13,1,0,0.271
2번타자,13,1,0,0,1,0,8,0,0,0.255
3번타자,12,1,0,1,7,0,7,0,0,0.279
4번타자,13,1,0,2,4,0,10,0,0,0.289
5번타자,12,1,0,1,5,0,13,0,0,0.308
6번타자,14,7,0,0,2,1,5,0,0,0.341
7번타자,9,2,0,0,1,0,9,0,0,0.220
8번타자,17,5,0,2,3,0,4,0,0,0.436
9번타자,13,3,0,0,2,0,13,0,0,0.342
상위(1~2번),26,3,0,1,7,0,21,1,0,0.263
중심(3~5번),37,3,0,4,16,0,30,0,0,0.291
하위(6~9번),53,17,0,2,8,1,31,0,0,0.333
좌타자,43,6,0,2,12,1,43,1,0,0.225
우타자,73,17,0,5,19,0,39,0,0,0.376
0아웃,38,12,0,2,14,1,24,0,0,0.290
1아웃,37,6,0,3,7,0,31,0,0,0.289
2아웃,41,5,0,2,10,0,27,1,0,0.325
