"응답자특성별(1)",응답자특성별(2),2018,2019,2020,2021,2022
"응답자특성별(1)",응답자특성별(2),전체,전체,전체,전체,전체
"응답자특성별(1)",응답자특성별(2),음주율 (%),음주율 (%),음주율 (%),음주율 (%),음주율 (%)
"지역별",서울,15.4,13.0,8.8,8.6,9.9
"지역별",부산,15.9,14.9,9.6,9.9,12.7
"지역별",대구,14.3,14.6,8.5,10.5,11.4
"지역별",인천,15.4,13.4,10.0,9.7,12.4
"지역별",광주,17.8,12.5,12.2,11.4,15.9
"지역별",대전,16.1,15.8,11.5,10.0,12.5
"지역별",울산,17.7,16.6,12.3,13.2,15.4
"지역별",세종,13.1,13.9,11.2,8.8,12.0
"지역별",경기,17.7,15.5,9.9,10.4,13.2
"지역별",강원,19.8,16.5,14.0,15.0,14.1
"지역별",충북,19.3,17.7,12.4,16.5,16.8
"지역별",충남,16.3,17.3,12.4,12.7,13.4
"지역별",전북,17.0,16.6,12.0,11.0,14.9
"지역별",전남,17.5,13.3,12.3,11.5,13.5
"지역별",경북,18.4,16.4,14.6,11.2,16.5
"지역별",경남,18.6,16.3,11.8,11.8,14.4
"지역별",제주,13.1,11.8,9.3,9.3,9.9
