"응답자특성별(1)",응답자특성별(2),2018,2019,2020,2021,2022
"응답자특성별(1)",응답자특성별(2),전체,전체,전체,전체,전체
"응답자특성별(1)",응답자특성별(2),비만율 (%),비만율 (%),비만율 (%),비만율 (%),비만율 (%)
"지역별",서울,10.1,11.0,11.4,13.4,11.4
"지역별",부산,11.9,11.0,12.0,13.9,13.7
"지역별",대구,11.2,9.8,13.2,12.1,12.2
"지역별",인천,11.2,11.8,14.8,14.8,12.6
"지역별",광주,9.8,11.1,11.3,13.9,12.7
"지역별",대전,9.9,10.5,12.7,11.3,13.0
"지역별",울산,11.7,11.9,13.4,14.8,11.8
"지역별",세종,8.8,7.5,10.9,10.1,10.4
"지역별",경기,9.8,9.7,10.7,12.3,10.0
"지역별",강원,11.5,13.7,12.5,14.8,16.2
"지역별",충북,11.5,13.1,14.7,15.0,14.9
"지역별",충남,11.9,13.7,13.2,14.4,13.6
"지역별",전북,12.3,11.2,13.8,14.2,13.2
"지역별",전남,12.0,12.4,11.6,15.5,12.2
"지역별",경북,12.4,11.8,13.8,13.6,14.5
"지역별",경남,11.0,11.0,11.6,14.3,13.3
"지역별",제주,14.9,16.5,17.7,19.3,16.7
