"시도별",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"시도별",중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원),중학교 (만원)
"전 체",26.0,25.5,26.2,27.6,26.7,27.0,27.5,27.5,29.1,31.2,33.8,34.2,39.2,43.8
"서 울",32.6,30.9,31.8,34.0,34.9,34.9,35.5,37.0,41.7,41.5,46.3,49.2,52.6,60.5
"부 산",21.8,22.8,23.9,28.1,27.0,26.8,27.6,29.2,33.5,31.6,32.5,34.0,42.1,45.0
"대 구",29.1,31.2,30.4,28.5,26.7,26.7,26.8,26.3,30.6,33.2,34.2,34.4,42.2,46.9
"인 천",21.3,22.0,21.9,22.7,21.9,22.6,22.9,23.6,22.8,30.0,33.4,32.9,38.9,39.7
"광 주",22.8,23.6,25.2,27.3,28.0,27.3,27.2,25.1,27.6,31.0,31.9,33.2,37.4,41.4
"대 전",21.7,22.1,22.3,26.5,29.0,27.1,27.3,29.0,24.7,29.3,31.7,34.9,35.3,41.1
"울 산",24.7,24.0,27.2,25.7,26.2,25.4,26.2,25.5,26.1,29.1,30.3,31.0,34.0,39.3
"세 종",-,-,-,-,-,21.5,22.1,24.1,32.0,33.4,40.2,37.2,40.6,45.8
"경 기",29.3,27.9,28.8,29.9,28.1,29.1,30.0,29.7,29.4,33.2,35.7,35.7,42.2,47.3
"강 원",23.3,23.1,22.5,22.3,21.1,20.4,21.2,21.6,22.0,25.5,20.9,23.3,28.9,30.7
"충 북",20.8,21.0,22.3,21.4,20.4,21.6,21.4,22.6,22.1,29.1,25.9,25.7,28.7,35.0
"충 남",19.3,19.2,21.3,21.7,19.5,20.2,19.9,18.8,20.2,20.2,28.1,21.1,29.2,33.6
"전 북",18.3,20.0,19.8,22.3,21.8,23.4,24.0,21.4,25.3,24.5,27.6,26.3,30.0,30.3
"전 남",20.8,20.7,21.7,22.3,21.3,21.3,21.2,19.1,19.5,22.0,22.6,23.0,25.6,30.8
"경 북",22.4,21.0,21.3,24.2,22.3,22.5,22.6,22.5,26.4,26.4,25.7,27.2,31.6,32.4
"경 남",24.8,23.2,22.8,24.8,23.2,23.3,24.0,22.2,23.7,22.6,28.9,28.1,29.8,35.4
"제 주",24.7,24.5,25.8,23.9,22.4,22.8,23.6,26.9,26.0,28.2,29.8,28.9,34.2,36.4
