"응답자특성별(1)",응답자특성별(2),2018,2019,2020,2021,2022
"응답자특성별(1)",응답자특성별(2),전체,전체,전체,전체,전체
"응답자특성별(1)",응답자특성별(2),경험률 (%),경험률 (%),경험률 (%),경험률 (%),경험률 (%)
"지역별",서울,29.6,29.5,25.4,26.8,30.2
"지역별",부산,24.2,25.4,23.2,24.2,24.6
"지역별",대구,23.1,25.3,21.6,24.9,26.6
"지역별",인천,25.4,27.1,23.3,24.2,27.9
"지역별",광주,28.3,26.1,25.4,27.2,29.8
"지역별",대전,28.3,29.3,25.7,26.5,29.5
"지역별",울산,24.3,25.1,24.8,23.9,28.4
"지역별",세종,27.5,26.5,25.3,27.1,30.6
"지역별",경기,28.8,30.0,26.8,28.4,30.0
"지역별",강원,25.2,27.9,28.5,28.5,27.3
"지역별",충북,26.2,31.4,25.2,28.6,29.0
"지역별",충남,24.6,26.8,25.3,30.1,28.8
"지역별",전북,27.1,30.9,28.3,27.7,29.5
"지역별",전남,26.5,24.9,24.0,25.7,26.2
"지역별",경북,24.3,27.4,22.6,24.0,26.7
"지역별",경남,25.9,25.6,23.3,24.9,27.9
"지역별",제주,26.5,26.4,24.7,28.0,25.8
