"응답자특성별(1)",응답자특성별(2),2018,2019,2020,2021,2022
"응답자특성별(1)",응답자특성별(2),전체,전체,전체,전체,전체
"응답자특성별(1)",응답자특성별(2),흡연율 (%),흡연율 (%),흡연율 (%),흡연율 (%),흡연율 (%)
"지역별",서울,5.7,5.7,3.4,3.3,3.3
"지역별",부산,5.8,7.4,3.7,4.0,3.9
"지역별",대구,6.8,6.0,2.6,4.6,3.2
"지역별",인천,6.8,7.1,4.3,4.2,3.3
"지역별",광주,8.4,6.5,5.7,6.7,7.0
"지역별",대전,5.9,6.8,4.5,4.6,3.9
"지역별",울산,7.5,7.9,5.0,3.7,4.9
"지역별",세종,6.5,5.3,4.2,4.6,4.7
"지역별",경기,6.8,7.2,4.2,4.4,4.6
"지역별",강원,7.7,6.3,5.7,6.1,5.8
"지역별",충북,8.1,7.0,5.9,7.3,6.1
"지역별",충남,5.6,8.2,4.5,4.2,4.2
"지역별",전북,6.7,6.7,6.6,5.6,6.3
"지역별",전남,7.2,5.7,5.0,6.0,6.3
"지역별",경북,8.0,6.2,5.9,4.0,5.4
"지역별",경남,6.9,6.7,4.8,4.6,4.8
"지역별",제주,6.0,5.9,4.7,4.3,4.1
